external_gene_name,logfc,padj
DIRC1,0.7,0.4631
COL3A1,-1.9,0.9495
MIR1245A,-6.1,0.8985
MIR1245B,-6.5,0.851
MIR3606,-4.4,0.9187
COL5A2,9.3,0.9057
AC133106.1,3.1,0.5625
MIR3129,2.7,0.2271
KRT18P19,-5.1,0.1127
WDR75,-6,0.9686
KDM3AP1,7.2,0.8129
AC013439.1,-2.5,0.3331
SLC40A1,-1.1,0.8765
AC012488.1,-9,0.6857
ASNSD1,0.4,0.6063
ASNSD1,3.8,0.7681
ASDURF,-6.3,0.1568
AC012488.2,5.3,0.6674
AC012488.2,-6.7,0.2488
ANKAR,7.5,0.3365
OSGEPL1,0.9,0.924
OSGEPL1-AS1,-1.9,0.0885
AC013468.1,-4.7,0.7143
ORMDL1,-1.4,0.6705
PMS1,-7.5,0.0311
C2orf88,6.5,0.7763
TERF1P6,-4.4,0.412
HNRNPCP2,-2.5,0.7026
RNF11P1,9.4,0.6058
MSTN,-5.5,0.7808
HIBCH,-5.4,0.5854
INPP1,4.1,0.807
MFSD6,-9.8,0.275
AC093388.1,4.6,0.9655
NEMP2,0.4,0.5995
AC108047.1,-1,0.7125
RN7SKP179,6.5,0.1547
AC006460.2,-4.6,0.5073
NAB1,-2.2,0.9951
AC006460.1,3.7,0.9588
AC005540.1,9.6,0.8114
GLS,-9,0.1893
STAT1,9.9,0.7775
RAB1AP1,-3.2,0.1041
AC067945.1,5.4,0.5184
AC067945.2,0.4,0.9349
STAT4,-4.5,0.1857
AC067945.3,-2.1,0.6412
RNU6-959P,9.7,0.7667
AC079777.1,2.5,0.9184
HMGB1P27,1.8,0.5896
AC092614.1,-6.1,0.1165
MYO1B,-9.3,0.8094
RNU6-1045P,5,0.7939
NABP1,2.6,0.2256
AC114778.1,-7.5,0.7507
AC098872.2,7.3,0.7453
AC098872.1,-3.9,0.6319
CAVIN2,5.6,0.2316
CAVIN2-AS1,-2.7,0.749
DNAJB1P1,-0.8,0.7977
TMEFF2,8.4,0.7856
AC062039.1,1.3,0.5811
AC013401.1,5.4,0.1521
PCGEM1,-0.7,0.0664
RPS17P8,-9.9,0.959
AC013401.2,-8.7,0.0669
AC096647.1,-1.3,0.7919
SLC44A3P1,8.5,0.2811
DNAJC17P1,1.1,0.2709
SEC61GP1,0.4,0.6873
AC074290.1,-8.4,0.1476
AC068135.2,1.4,0.6632
AC068135.1,-4.2,0.249
GLULP6,-7.4,0.3884
HNRNPA1P47,1.9,0.4721
LINC01821,9.2,0.4002
AC106883.1,8.5,0.4292
AC073973.1,-7.7,0.4558
Metazoa_SRP,3,0.8953
AC006196.1,-6.5,0.7994
LINC01790,-1.9,0.3669
AC010983.1,-9.9,0.8704
AC104823.1,1.4,0.4067
AC064834.1,-3.9,0.3433
RNU6-169P,8,0.4372
LINC01825,-4.1,0.1294
LINC01827,6.7,0.897
SLC39A10,-2.1,0.2983
AHCYP5,-9.7,0.8231
RNU6-915P,-1,0.1173
DNAH7,9.3,0.2696
DNAH7,7,0.1325
DNAH7,0.5,0.6815
E2F3P2,-2.3,0.8513
AC114760.1,-9.8,0.916
STK17B,-3.8,0.7216
AC114760.2,7.3,0.6372
HECW2,4,0.3514
HECW2-AS1,8.4,0.8964
RN7SL820P,-5.9,0.1523
AC068544.2,9.2,0.8395
CCDC150,-2.2,0.1662
AC068544.1,6.6,0.1132
GTF3C3,-8.1,0.9226
C2orf66,-5.2,0.8913
AC012486.1,3.4,0.9208
PGAP1,-4.7,0.1345
ANKRD44,-4.6,0.8394
HNRNPA3P15,-6,0.0164
RPL4P7,-0.5,0.101
ANKRD44-AS1,-8.8,0.0656
ANKRD44-IT1,1.8,0.0183
ATP5MC2P3,5,0.6336
AC010746.2,-9.6,0.393
NPM1P46,9.4,0.3626
SF3B1,4.5,0.3762
AC010746.1,9.1,0.2235
RNU6-1029P,-7.2,0.4425
RNU6-1029P,5,0.1949
RNU6-1029P,7.9,0.5778
COQ10B,-2.2,0.1125
HSPD1,-7.5,0.3346
HSPE1,9.6,0.5947
HSPE1-MOB4,-8.2,0.526
MOB4,1.3,0.4406
AC020550.1,-7,0.1245
RFTN2,-1.9,0.7227
AC020550.2,7.3,0.0049
AC011997.1,9.2,0.0969
MARS2,-3.3,0.7604
BOLL,0.6,0.82
PLCL1,4.2,0.2394
AC011997.2,7.1,0.8936
AC020719.1,-7.6,0.9862
LINC01923,0.7,0.6962
AC019330.1,-0.6,0.8644
AC020718.1,8.7,0.1695
AC018717.1,-1.8,0.0746
RNU7-147P,-8,0.5168
SATB2,-6.1,0.3264
AC016746.1,-4.2,0.8103
SATB2-AS1,3.9,0.8536
LINC01877,9.2,0.3051
SEPHS1P6,-0.3,0.1775
FTCDNL1,0.3,0.4851
AC097717.1,9,0.3723
AC108032.1,-5.7,0.4759
RN7SL717P,4.7,0.1034
C2orf69,9.2,0.0259
TYW5,-4.5,0.5553
MAIP1,4.6,0.4925
AC004464.1,7.5,0.6912
SPATS2L,3,0.0454
RNY4P34,1.5,0.4988
AC012459.1,-2.4,0.3644
KCTD18,-8.7,0.0462
SGO2,6.9,0.8728
SGO2,2.8,0.9125
AOX1,-5.5,0.9723
AOX3P,5.5,0.1506
AOX3P-AOX2P,6.3,0.8835
LINC01792,2.9,0.3619
AOX2P,9.4,0.0787
RNU1-133P,8.6,0.9056
RNU1-133P,-7,0.6486
BZW1-AS1,-1.6,0.2976
BZW1,-2.2,0.7049
RNU6-31P,-5.3,0.0329
BICD1P1,-9.7,0.4647
RNA5SP115,-4.5,0.2602
CLK1,1.2,0.2717
Y_RNA,3.5,0.1906
PPIL3,2.2,0.9359
RNU6-312P,9,0.2588
NIF3L1,-2.1,0.9157
RNU6-762P,-5.1,0.5737
ORC2,-7.8,0.6598
AC005037.1,8.2,0.0998
FAM126B,-4.5,0.1772
HNRNPA1P35,-8.5,0.1956
RPL23AP30,2.9,0.9722
NDUFB3,5.9,0.1787
RNU6-1206P,2.5,0.0479
Metazoa_SRP,6.7,0.8942
AC007272.1,-3.4,0.6471
RPL17P10,2,0.049
CFLAR,4.5,0.8343
IMPDH1P10,-8.6,0.9055
CFLAR-AS1,1.6,0.2692
RNU7-45P,-9.9,0.7314
RPL38P5,-8.1,0.828
AC007283.1,-3.4,0.4317
CASP10,-4.8,0.1159
MTND5P25,9.7,0.7579
MTND4P23,7.9,0.1971
MTND4LP13,-4.6,0.2248
CASP8,-7.8,0.7874
FLACC1,6.1,0.0051
TRAK2,6.7,0.0794
STRADB,4.5,0.6936
SCYL2P1,-5.3,0.5428
Y_RNA,-1.7,0.958
C2CD6,4.3,0.4426
MTCO2P16,3.9,0.1421
MTATP6P16,4.8,0.8172
MTCO3P16,-0.4,0.982
MTND3P16,9.7,0.0508
MTND4LP16,5.4,0.902
MTND4P29,-0.2,0.0428
MTND5P31,-8.6,0.6669
TMEM237,2.8,0.5888
ENO1P4,8,0.1843
AC007279.1,5.7,0.8436
MPP4,3.1,0.0662
RNU6-651P,5.2,0.1707
ALS2,2.7,0.409
RPS2P16,4.1,0.901
CDK15,5.7,0.3867
Y_RNA,0.6,0.778
UBE2V1P11,0.4,0.2625
RNU6-440P,-6.2,0.8799
AC069148.1,-5.8,0.4853
FZD7,0.2,0.088
KIAA2012,-0.1,0.3591
KIAA2012-AS1,0.4,0.6169
AC079354.2,-5.2,0.076
AC079354.1,6.3,0.9652
PSMA2P3,-0.2,0.7286
DAZAP2P1,-4.2,0.5073
SUMO1,1.8,0.9255
RPL39P14,-9.7,0.2138
NOP58,6.8,0.968
SNORD70,-0.1,0.329
SNORD70,9.4,0.5332
SNORD70B,-2.2,0.4984
SNORD11B,-6.7,0.3332
SNORD11,-1.3,0.78
AC064836.3,-1.6,0.1958
RN7SL753P,3.7,0.5296
PIMREGP1,-4.7,0.6801
AC064836.1,9.4,0.7798
RN7SL40P,2.6,0.1566
AC064836.2,5.9,0.7289
BMPR2,-5.3,0.801
H3P8,-1.4,0.3842
RPL13AP12,-3.5,0.1276
MTCO1P17,-8.3,0.0364
MTCO2P17,6,0.5131
MTATP6P17,0.6,0.1921
MTCO3P17,9.4,0.3509
MTND3P17,3.4,0.5381
MTND4LP17,-1.1,0.858
MTND4P30,-4.6,0.1792
MTCO1P54,2,0.7437
FAM117B,-1.3,0.2435
ICA1L,9.5,0.2269
AC098831.1,-9.4,0.65
KRT8P15,9.6,0.0995
WDR12,0.7,0.5545
CARF,5.4,0.4822
KRT8P52,-4,0.2549
AC010900.1,-0.3,0.4996
NBEAL1,-7.3,0.5449
RPL7P14,-0.3,0.8605
AC023271.1,9.1,0.0716
AC023271.2,5.2,0.5441
RPL23AP36,1.4,0.0736
RPL12P16,6.5,0.7785
CYP20A1,-9.1,0.9225
RN7SL670P,8.1,0.2902
MRPL50P2,-4.2,0.1322
ABI2,4.9,0.6122
AC080075.1,5.5,0.1205
RAPH1,8.4,0.461
AC125238.2,2.7,0.4434
AC125238.1,0.4,0.5786
CD28,-3.8,0.2573
KRT18P39,0.4,0.6111
NPM1P33,-8.4,0.8272
RNU6-474P,1.4,0.358
CTLA4,-1,0.6159
ICOS,-3.3,0.424
AC009965.2,-1.9,0.5449
AC009965.1,6.4,0.7888
AC009498.1,-4.4,0.7059
DSTNP5,-6.1,0.4195
AC106901.1,-0.6,0.8762
AC016903.1,1.8,0.3255
AC016903.2,-4.7,0.8103
PARD3B,6.1,0.917
AC007736.1,5.7,0.9648
AC008171.1,-3.3,0.2213
NRP2,5.3,0.9815
AC007362.1,7.5,0.8314
RN7SKP178,0.2,0.475
PPIAP68,8.4,0.5533
AC007679.1,0.9,0.669
INO80D,2.9,0.3362
Vault,-4.6,0.7685
Y_RNA,7.8,0.6292
RPL27P8,0,0.066
AC007383.1,-0.5,0.9357
NDUFS1,-8.9,0.1421
AC007383.2,4.2,0.2511
GCSHP3,-4.7,0.2947
EEF1B2,9.1,0.5545
AC007383.3,-1.9,0.6957
snoZ196,7.1,0.2307
SNORD51,-4.7,0.4534
SNORA41,-7.4,0.7375
GPR1,0,0.5968
GPR1-AS,2.8,0.3846
RN7SKP200,-7.6,0.14
ATP5POP1,-9,0.4779
HMGN1P6,-6.6,0.047
RN7SKP260,-0.1,0.6
ZDBF2,8.5,0.2126
ACER2P1,3.7,0.9882
HNRNPA1P51,1.8,0.2473
ADAM23,-9,0.4465
AC010731.1,6.8,0.2906
AC010731.2,8.8,0.2138
FAM237A,-0.6,0.4585
DYTN,2.4,0.0522
VPS26CP1,-8.2,0.4148
Y_RNA,3,0.7327
MDH1B,-8.5,0.3751
FASTKD2,-3.8,0.92
MIR3130-1,8,0.55
MIR3130-2,-0.9,0.474
AC008269.1,-9.3,0.5608
AC008269.2,-0.8,0.1898
CPO,3.6,0.0503
KLF7,-8,0.8708
MIR2355,-1.8,0.6817
KLF7-IT1,-1,0.0451
MYOSLID,2.5,0.3339
MIR7845,-0.6,0.51
AC007879.1,-9.5,0.6738
AC007879.3,-4.6,0.0107
AC007879.5,-7.6,0.8862
AC007879.2,4.3,0.6905
AC007879.4,5.9,0.3474
AC009226.1,-6.4,0.3388
LINC01802,-1.6,0.1313
MIR1302-4,2.6,0.2182
CREB1,3.2,0.7778
METTL21A,-6.5,0.3797
RPS29P9,5,0.2762
LINC01857,-9.6,0.1014
RNU6-664P,-5.3,0.5555
PPP1R14BP2,5.1,0.6421
Y_RNA,7.3,0.9553
CCNYL1,-6.3,0.1741
AC096772.1,-8.9,0.7058
MIR4775,9.5,0.0767
FZD5,7.1,0.3004
PLEKHM3,-0.9,0.5589
AC083900.1,-7.6,0.6045
RNU6-360P,-6.8,0.7918
RPL9P14,2.8,0.0642
RNA5SP116,-1.3,0.9487
RPL12P17,-2.4,0.151
CRYGEP,4.9,0.0153
CRYGD,3.8,0.4358
CRYGC,1.5,0.5569
AC093698.1,-2.3,0.5012
CRYGB,-9.8,0.0001
CRYGA,-2,0.203
C2orf80,-1.1,0.485
C2orf80,-8.9,0.3604
RPSAP27,8.9,0.0929
TPT1P2,-0.4,0.7066
IDH1,3.7,0.3795
IDH1-AS1,-0.4,0.1273
PIKFYVE,-1.5,0.0258
MYL6BP1,-5.2,0.2551
PTH2R,8.2,0.3641
ARPC1BP1,7.5,0.1267
H3P9,9.8,0.5297
AC019185.1,-7.6,0.0086
AC019185.2,3.3,0.1423
AC109824.1,2.8,0.8552
RNA5SP117,-5.8,0.377
HSPA8P6,-9.4,0.2419
CRYGFP,4.7,0.3248
MEAF6P1,-3.3,0.5274
PKP4P1,3.3,0.7315
AC016743.1,-9.3,0.22
MAP2,5.1,0.4641
RNA5SP118,-6.6,0.897
UNC80,6.7,0.9704
SNAI1P1,0.1,0.2523
RPE,5.3,0.8476
KANSL1L,-3.4,0.1096
AC007038.1,4.2,0.4441
KANSL1L-AS1,8.6,0.0408
RPL6P6,5.8,0.8693
AC006994.1,9.6,0.5389
ACADL,9.5,0.7271
Y_RNA,-8.8,0.7135
MYL1,-6.3,0.614
LANCL1-AS1,8.4,0.3479
LANCL1,7.5,0.5571
CPS1,9.7,0.9564
CPS1-IT1,-0.5,0.3562
AC012491.1,-5.6,0.2215
RPS27P10,-2.6,0.8778
ERBB4,-9.9,0.7968
RNA5SP119,7.4,0.1907
MTND2P23,-6.9,0.4856
MTCO1P46,9.2,0.4007
MIR548F2,-1.4,0.7108
AC093865.1,8.5,0.5694
LINC01878,-9,0.0936
PCED1CP,-9.9,0.5513
AC108066.1,5.5,0.7874
MIR4776-1,-9.7,0.7485
MIR4776-2,-2,0.7429
AC108066.2,1.6,0.1365
IKZF2,-0.4,0.0707
AC079610.1,7.1,0.3886
LINC01953,-8.1,0.204
AC079610.2,3.3,0.7646
SPAG16-DT,3.4,0.142
SPAG16,-4.2,0.9242
MIR4438,6,0.3323
AC068051.1,-3.1,0.2216
RPL5P8,2.8,0.2721
VWC2L,7.3,0.3135
VWC2L-IT1,0.3,0.9577
ENSAP3,-6.4,0.9717
BARD1,3.8,0.6374
SNHG31,-2.6,0.444
SNORA70I,-1.6,0.4652
RPL10P6,5.2,0.1721
ABCA12,-7.8,0.8021
AC072062.1,-5.7,0.0427
AC092844.1,3.7,0.8719
LINC02862,-5.3,0.0669
ATIC,-3.8,0.6233
FN1,6.7,0.337
AC012462.3,1.3,0.5093
AC012462.1,6.4,0.4104
AC012462.2,6.2,0.0434
AC012668.2,7.1,0.049
AC012668.3,5.1,0.3819
AC012668.1,-5.6,0.8744
LINC00607,-4.6,0.469
LINC01614,-9.1,0.3864
AC093850.1,2.4,0.0215
AC122136.1,4.2,0.0202
AC093382.1,-5.1,0.8848
MREG,2.2,0.3076
PECR,0.2,0.0803
TMEM169,-7.8,0.5048
XRCC5,-2.2,0.1349
POLHP1,7,0.0158
AC012513.2,-5.5,0.9332
AC012513.3,3.2,0.9366
LINC01963,-7.2,0.3239
MARCHF4,-7.8,0.1071
AC012513.1,-0.2,0.5045
AC069155.1,6.3,0.4012
Y_RNA,1.1,0.5108
AC098820.1,-4.8,0.1377
SMARCAL1,6.2,0.0141
RPL37A-DT,2.8,0.6747
AC098820.2,7.2,0.1133
RPL37A,-6.9,0.2142
LINC01280,8.7,0.1763
AC073321.1,0.4,0.6676
PSMB3P2,-6.7,0.418
IGFBP2,1.1,0.015
IGFBP5,9.2,0.1083
AC007563.2,-9.5,0.4293
RPL31P14,3.3,0.8749
RNA5SP120,-2,0.1512
AC007563.1,-6.1,0.6618
FABP5P14,8.1,0.2657
AC007563.3,8.8,0.03
AC007557.2,9.7,0.3526
TNP1,-1.8,0.8839
LINC01921,9.7,0.2134
AC007557.4,-9.8,0.8308
AC007557.1,8.5,0.7843
AC007557.3,8,0.1358
AC007749.1,5.5,0.0523
AC007749.2,-1.4,0.1025
RN7SKP43,-2.9,0.0838
DIRC3-AS1,-8.3,0.005
AC009492.1,-3,0.8993
DIRC3,-1.2,0.7041
AC010886.1,6.8,0.5333
RPL7L1P9,6.4,0.8899
TNS1,7,0.6383
MIR6809,-4.2,0.5055
AC010136.1,0.9,0.5785
RUFY4,4.7,0.6806
CXCR2P1,3.8,0.1465
CXCR2,8.9,0.73
CXCR1,-7,0.1361
HMGB1P9,0.3,0.8755
ARPC2,-4.3,0.0223
AC021016.1,-6.1,0.1642
GPBAR1,7.1,0.6482
AAMP,-3.3,0.7417
PNKD,5.2,0.6558
TMBIM1,6,0.8133
MIR6513,-2.1,0.8577
CATIP-AS2,9.3,0.0766
MIR6810,9.9,0.7005
RPL19P5,-4.1,0.7014
CATIP,9.9,0.4698
CATIP-AS1,3.2,0.879
SLC11A1,-6.8,0.3823
CTDSP1,-4.2,0.6386
AC021016.2,5.4,0.1449
MIR26B,3.9,0.3211
VIL1,-2,0.9255
USP37,-4.9,0.1502
RN7SKP38,8.4,0.5186
CNOT9,-5.5,0.8664
RNU6-136P,-4.3,0.1944
PLCD4,6.7,0.1776
AC012510.1,-9.7,0.5302
ZNF142,5.5,0.3688
BCS1L,-5.5,0.0688
RNF25,2,0.0213
STK36,-4.1,0.2872
TTLL4,3.8,0.6875
CYP27A1,-2.5,0.9806
AC009974.2,9.2,0.8432
AC009974.1,4.2,0.5455
PRKAG3,7.7,0.5193
MIR9500,8.4,0.1337
RPL23AP31,-7.5,0.6716
WNT6,-1.4,0.4985
WNT10A,-7.5,0.4364
LINC01494,-1.3,0.9179
RNU6-642P,-8,0.1391
AC097468.2,-6,0.7195
KRT8P30,1.3,0.5997
CDK5R2,8.5,0.1174
LINC00608,9,0.5698
FEV,0.8,0.8364
CRYBA2,4.7,0.34
MIR375,5.6,0.2109
AC097468.1,-1.7,0.474
CFAP65,8.6,0.8989
IHH,4.4,0.3119
MIR3131,-4.9,0.3192
AC097468.3,1.5,0.7145
NHEJ1,-9.3,0.7686
AC068946.1,-3.6,0.9699
RN7SL764P,3.1,0.6562
SLC23A3,9.3,0.7739
CNPPD1,1.5,0.0173
RETREG2,-0.4,0.6778
ZFAND2B,4.8,0.4877
AC068946.3,4.5,0.0031
ABCB6,-6.1,0.361
AC068946.2,-4.6,0.5131
ATG9A,-5.6,0.5096
ANKZF1,-3.4,0.2704
GLB1L,-2.7,0.4381
STK16,-9.3,0.7695
TUBA4A,8.3,0.0659
TUBA4B,-7.6,0.7778
DNAJB2,1.2,0.8284
PTPRN,2.9,0.2619
MIR153-1,-0.3,0.4547
AC114803.1,5.1,0.7797
RESP18,2.8,0.7608
AC053503.2,7.9,0.6995
DNPEP,-10,0.6419
AC053503.1,3,0.3962
DES,3.8,0.2471
AC053503.3,-3.7,0.202
AC053503.5,-7.2,0.1569
SPEG,-5.8,0.893
ASIC4-AS1,-0.9,0.115
AC053503.6,5.7,0.5941
SPEGNB,3.5,0.0178
AC053503.4,-2.5,0.9915
GMPPA,-0.7,0.6436
ASIC4,-9.4,0.9102
CHPF,7.7,0.9587
TMEM198,8.5,0.7641
AC009955.3,-8.6,0.9524
MIR3132,5.3,0.976
OBSL1,3.1,0.8391
AC009955.4,-1.9,0.268
INHA,-1.4,0.8943
RN7SKP213,-9.9,0.9362
STK11IP,-3.2,0.7186
AC009955.1,-4.1,0.4685
SLC4A3,0.9,0.5287
AC009955.2,4.2,0.8246
DNAJB6P3,-7.7,0.4213
LINC02832,-4.5,0.4297
RPL23P4,-9.5,0.2027
LINC01803,-2.2,0.3936
AC008281.1,8.3,0.3091
MIR4268,0,0.3673
AC009310.1,-4.1,0.1763
AC019211.1,-8.2,0.5659
AC093083.1,2.1,0.339
AC067956.1,4.2,0.4462
AC093843.1,-7.6,0.3892
AC093843.2,0.1,0.4584
AC011233.1,3.2,0.6153
AC011233.2,-1.1,0.3159
EPHA4,4.4,0.9819
TMEM256P2,-6.4,0.6762
AC079834.1,-8.5,0.0219
RPL23P5,2.9,0.3719
AC068489.1,6.9,0.1682
LLPHP3,-7,0.5977
HSPA9P1,5.7,0.0426
RPL23AP28,-2.8,0.1545
PAX3,-6.3,0.2197
CCDC140,-6,0.1746
CT75,0.5,0.9905
AC010980.1,0.6,0.413
SGPP2,-1.8,0.7846
NANOGP2,-9.9,0.4119
RNU6-619P,0.5,0.1666
GAPDHP49,-2.7,0.6404
FARSB,-9.6,0.0798
MOGAT1,8.9,0.4681
RRAS2P2,7.3,0.1143
AC104772.1,-0.7,0.5771
RPL31P17,-5.9,0.9782
ACSL3,-8,0.7889
ATG12P2,4,0.2948
ACSL3-AS1,4.3,0.229
AC013476.1,-9.3,0.0042
KCNE4,-8.5,0.8067
RN7SL807P,-5.8,0.059
HIGD1AP4,1.9,0.3972
AC013448.1,5.8,0.5693
AC013448.2,2.6,0.0093
SCG2,-4.8,0.2096
MLXP1,4.1,0.3447
AP1S3,-4.6,0.0688
AC093884.1,0.3,0.6783
WDFY1,9.8,0.5006
MRPL44,9.5,0.1432
AC073641.1,-4,0.4577
SERPINE2,2.8,0.4027
USP21P1,-6.3,0.6796
AC008072.1,-6.6,0.3835
FAM124B,-8.8,0.2178
AC073052.1,-4.5,0.6812
CUL3,0.6,0.2184
ANKRD49P1,9.7,0.4905
CCDC195,7.9,0.181
DOCK10,7.3,0.2146
MIR4439,2.6,0.2103
NYAP2,7.8,0.3426
AC016717.1,7.2,0.8993
AC016717.2,-4.4,0.761
AC016717.3,-5.9,0.9771
AC068138.1,2.9,0.4085
AC062015.1,9.5,0.2306
MIR5702,-2.2,0.878
IRS1,2.5,0.4528
AC010735.2,3.4,0.3973
AC010735.1,1,0.7205
RHBDD1,-3.6,0.718
AC073149.1,5.5,0.6677
COL4A4,-0.4,0.5542
COL4A3,4.3,0.1496
MFF-DT,7.3,0.4596
MFF,8.6,0.1524
TM4SF20,8.5,0.2062
SCYGR1,-2.9,0.7538
MIR5703,-9.4,0.7973
AGFG1,9.5,0.0195
SCYGR9,1.3,0.0176
SCYGR2,5.4,0.9985
SCYGR10,2.6,0.8668
C2orf83,5.8,0.43
SCYGR3,-9.1,0.0769
AC064853.1,0.3,0.3834
SCYGR4,8,0.2005
SCYGR5,5.8,0.1328
SLC19A3,6.7,0.6012
SCYGR6,5.2,0.217
SCYGR7,-1.5,0.5279
SCYGR8,2.6,0.393
RNA5SP121,0.6,0.4039
SNRPGP8,-4.9,0.438
AC073065.1,3.3,0.7725
CCL20,7.3,0.4227
TDGF1P2,1.8,0.8044
DAW1,7.3,0.4261
AC073065.2,7.8,0.199
SPHKAP,5.5,0.7734
RNU6-624P,-5.7,0.2783
SNF8P1,1.1,0.2228
AC009410.1,-2.7,0.7035
LINC01807,7.4,0.8631
AC012070.1,-1.4,0.7503
RPL7L1P10,-3.9,0.4506
PID1,-6.8,0.3119
RPL17P14,-8.1,0.6872
RN7SKP283,6.5,0.7388
DNER,9.6,0.2365
AC008273.1,3.5,0.193
RNU7-9P,-3.7,0.3386
AC007559.1,-7.1,0.3778
TRIP12,-5.3,0.0519
RNU6-613P,8.7,0.1753
FBXO36,4.4,0.3674
RNU6-964P,-6.4,0.6919
FBXO36-IT1,7.1,0.1309
RNU6-1027P,1.1,0.0969
SLC16A14,4.3,0.5591
RNY4P19,9.8,0.0912
AC009950.1,0.1,0.8234
AC009950.2,6.4,0.6075
SP110,7.6,0.6356
SP110,-5.6,0.9742
SP110,-9,0.6929
SP110,6.1,0.7595
SP110,-8,0.0675
SP110,0.6,0.5697
SP110,-0.5,0.4934
SP140,-9.8,0.3487
SP140L,-2.6,0.6201
AC009949.1,1.6,0.5961
SP100,6.5,0.4205
SP100,-9.8,0.1979
RN7SL834P,5.4,0.2287
HMGB1P3,7,0.6597
AC010149.1,9.4,0.6132
TPM3P8,-10,0.0544
AC010149.2,-0.3,0.6432
RNU6-451P,5.8,0.2808
LINC01907,-4.3,0.6496
CAB39,5.7,0.8068
BANF1P3,9,0.5993
RNU6-268P,7.7,0.7086
AC012507.2,-8,0.3407
ITM2C,9.5,0.9627
GCSIR,7.2,0.201
GPR55,-3.7,0.5419
AC012507.1,7.9,0.9588
AC012507.3,-5.4,0.5363
COX20P2,-9.3,0.0001
SPATA3-AS1,-9.5,0.0316
SPATA3,-9.2,0.9605
C2orf72,-2.4,0.8679
AC009407.1,-7.5,0.0387
PSMD1,-9.1,0.9908
HTR2B,-2.6,0.442
RNU1-93P,3,0.9812
ARMC9,6.2,0.6387
RPS28P4,0.4,0.0975
MIR4777,6,0.496
AC017104.1,-1.7,0.7865
B3GNT7,-9.7,0.1752
ZBTB8OSP2,-3.6,0.4781
HIGD2AP1,4.2,0.5635
AC017104.2,0.3,0.709
NCL,1.9,0.0076
SNORA75,-5,0.2634
SNORA75,5.6,0.224
SNORD20,-3.6,0.5055
SNORD82,4.4,0.6255
AC017104.3,1.7,0.1464
AC017104.4,6.7,0.7583
RNU2-22P,0.5,0.9292
LINC00471,1.2,0.3832
AC017104.5,0.6,0.554
NMUR1,-5.7,0.0557
RPL21P35,7.4,0.8673
RPL23AP26,-3.7,0.1738
AC104634.1,-4.4,0.7642
TEX44,6.7,0.5806
RN7SL499P,-5.7,0.7709
PTMA,2,0.6301
AC073476.3,-8.2,0.855
MIR1244-1,8.1,0.3465
PDE6D,-4.7,0.3955
AC073476.4,8.2,0.4642
COPS7B,3.4,0.0972
RPL28P2,6.8,0.591
AC073476.2,-6.5,0.8433
AC073476.1,-4.9,0.8054
MIR1471,-5.7,0.5932
NPPC,-1.3,0.3267
DIS3L2,0.9,0.7841
AC019130.1,-0.6,0.128
MIR562,-7.4,0.7847
NRBF2P6,5.2,0.4877
ECEL1P3,-9.5,0.0922
AC068134.3,6,0.3504
ALPP,-2.9,0.028
ALPP,-3.1,0.5734
ALPP,4.2,0.6488
AC068134.1,-0.2,0.3326
ECEL1P2,-8.5,0.3137
ALPG,-7,0.5473
ALPG,-5.6,0.0598
ALPG,-0.4,0.1961
ECEL1P1,-2.8,0.4868
AC068134.2,-5.9,0.9669
DIS3L2P1,7.3,0.5657
ALPI,1.1,0.0707
ALPI,-4.2,0.4129
ALPI,-9.7,0.3743
ECEL1,-7.9,0.5311
PRSS56,-6.7,0.4035
CHRND,3.6,0.5689
CHRNG,2,0.3534
TIGD1,-9.8,0.8933
MIR5001,-4.3,0.677
EIF4E2,5.4,0.8815
AC073254.1,-2.5,0.7612
EFHD1,9.5,0.9578
RN7SL359P,-8.9,0.0324
GIGYF2,3.5,0.8637
EEF1B2P7,4,0.5414
AC064852.1,0.9,0.2008
KCNJ13,-1.5,0.8645
RNU6-107P,-1.3,0.3644
Y_RNA,3.7,0.6575
SNORC,-1,0.6873
NGEF,-1.6,0.9181
AC106876.1,7.7,0.0985
NEU2,3.5,0.1625
INPP5D,7.7,0.7775
RN7SL32P,-1.9,0.9627
ATG16L1,3.9,0.12
SCARNA5,2.1,0.1284
SCARNA6,4.8,0.6609
SAG,-2.3,0.5404
AC013726.1,1.4,0.7435
DGKD,8.5,0.0894
Y_RNA,-6.4,0.1173
USP40,-6.1,0.5021
PPFIA1P1,-1.2,0.1008
UGT1A12P,-9.8,0.7664
UGT1A11P,2.9,0.7726
UGT1A8,1.6,0.0197
UGT1A8,6,0.6648
UGT1A8,-1.7,0.1294
UGT1A10,-8,0.4915
UGT1A10,-0.5,0.7717
UGT1A10,0.2,0.8753
UGT1A13P,2.1,0.1772
UGT1A9,-2.6,0.7311
UGT1A9,-0.6,0.4069
UGT1A9,-7.1,0.191
UGT1A7,6.8,0.6391
UGT1A7,-4.7,0.6475
UGT1A7,2.4,0.5119
UGT1A6,4.8,0.108
UGT1A6,-8.6,0.2363
UGT1A6,5.5,0.8737
AC114812.2,-0.3,0.0617
UGT1A5,3.3,0.73
UGT1A5,4.2,0.9571
UGT1A4,-1.6,0.8784
UGT1A4,-5.2,0.398
RPL17P11,-8.7,0.7618
UGT1A3,4,0.692
UGT1A3,-6.6,0.9281
AC114812.3,9.2,0.3979
ATF5,4.9,0.3442
DNAJB3,-6.2,0.3462
